,Hoja1 * s_GENERA,Hoja1 * s_B_C_D,Hoja1 * s_B,Hoja1 * s_C,Hoja1 * s_D,Hoja1 * s_E,Hoja1 * s_08,Hoja1 * s_10,Hoja1 * s_11,Hoja1 * s_13,Hoja1 * s_14,Hoja1 * s_15,Hoja1 * s_16,Hoja1 * s_17,Hoja1 * s_18,Hoja1 * s_19,Hoja1 * s_20,Hoja1 * s_21,Hoja1 * s_22,Hoja1 * s_23,Hoja1 * s_24,Hoja1 * s_25,Hoja1 * s_26,Hoja1 * s_27,Hoja1 * s_28,Hoja1 * s_29,Hoja1 * s_30,Hoja1 * s_31,Hoja1 * s_32,Hoja1 * s_35,Hoja1 * s_33,Hoja1 * s_36,Hoja1 * s_CD,Hoja1 * s_CN,Hoja1 * s_EN,Hoja1 * s_EQ,Hoja1 * s_IN,Hoja1 * s_XC,Hoja1 * s_EN_X_E,Hoja1 * s_051,Hoja1 * s_061,Hoja1 * s_072,Hoja1 * s_081
1993-09-30,98.185355332,98.645333751,312.826173477,101.209741798,67.14563101,,176.7724325,80.559593647,80.11945986,203.67283206,433.714054152,273.072276183,206.521514848,70.241854707,98.67983612,84.022473262,77.65671703,43.365161421,71.490516141,165.089199314,79.445786816,122.064837235,236.914953965,90.035442784,85.175944687,61.081294651,200.174700283,224.928164253,87.299684236,67.14563101,,,204.35034959,94.956151829,75.450886555,100.289005747,103.383907732,103.217428474,77.596518642,623.243617238,361.811848097,2701.927200361,172.557120256
1993-10-31,98.058500867,98.517884999,317.460635306,100.570791408,70.838640716,,172.674153539,82.965794174,64.673405879,216.579456657,342.715170827,282.930481099,218.215574984,70.651428204,95.767972103,92.002261226,81.56889421,41.039584941,71.726458439,170.739573695,85.155952743,122.394296985,231.842122197,86.159744916,81.42679719,60.313666173,162.259432667,221.381999501,95.420585095,70.838640716,,,200.566083857,90.61106006,80.357374842,97.257931986,106.525407691,98.931182847,82.642535027,665.839404028,353.063497926,2631.305556517,178.719874551
1993-11-30,100.468735688,100.93941128,318.619250763,102.871012813,73.636375341,,166.663344397,85.949482828,69.22943619,224.449349704,343.323181184,259.928002961,231.01284834,73.72322943,104.665334376,80.455038643,77.461108171,41.381581482,68.659208571,173.687595112,85.776622953,127.500923104,240.753853683,99.724687454,87.167679294,64.919437044,154.79579731,236.326550955,94.886315302,73.636375341,,,211.445847839,92.942572717,79.92124255,101.211506457,108.952930386,101.827294757,82.194000237,692.293629508,353.916995504,2964.377512508,178.411736837
1993-12-31,92.857467833,93.292486183,287.046979551,93.797917273,76.546019351,,150.270228555,82.292058027,88.89815241,196.275132595,317.584076101,233.310849687,188.870103322,67.272446855,97.223904111,86.369469722,70.419189246,38.098414687,52.025276598,152.805776746,69.018527296,104.603470505,307.660391608,81.240589929,91.502631087,48.799238994,114.641439088,217.329239785,84.842043186,76.546019351,,,179.752622324,89.02139234,82.865135522,93.304357515,94.244998761,96.150915413,85.221610069,582.889713964,364.72796482,2944.959652467,161.156024811
1994-01-31,91.969486583,92.400344922,295.446941617,92.136646258,81.022394752,,142.620107828,84.120770427,52.449909922,198.321304788,334.203025839,250.23410146,198.578379661,68.705954094,96.253282772,89.749144624,82.938156223,42.61276903,61.580939646,150.840429135,74.852827266,105.427119879,141.353771724,81.091524626,71.819606731,58.559086793,121.955801738,203.904473225,76.50743441,81.022394752,,,173.3666739,87.007813227,87.335491518,80.257561761,98.671657794,93.718181409,89.819091665,638.040048439,372.978441403,3606.280019597,154.376995087
1994-02-28,96.028829439,96.478704974,303.846903682,97.88719977,73.188737801,,154.91494471,80.463345626,55.116854494,209.968746497,393.180030399,295.41754066,204.977016339,69.83228121,97.709214781,80.361158785,80.101827768,46.306331675,67.479497084,166.563210022,82.176735738,120.911728111,189.888432432,88.544789758,77.794810553,67.441644902,124.045619638,214.54296748,83.987211517,73.188737801,,,187.794187007,90.505082212,79.485110258,94.35864404,103.241112279,98.004427036,81.745465448,697.225773241,328.738816965,2788.008923855,171.632707112
1994-03-31,104.528078544,105.017771332,331.074366929,107.5992457,72.741100261,,172.127716345,79.597113436,79.119355645,235.309802109,427.025940233,329.264044206,222.628427865,79.354865012,106.444806831,95.194176411,87.53496441,46.306331675,72.670227629,187.445028388,91.610922922,131.12498035,227.04349755,101.364405783,89.393735621,73.034366675,121.507983617,237.086443402,89.650471327,72.741100261,,,205.296416023,97.181686638,82.865135522,103.583651139,114.664748493,105.534318002,85.221610069,741.16669014,353.490246715,2960.914454666,195.359311148
1994-04-30,97.931646403,98.390436248,317.460635306,100.698581486,68.7123624,,163.111502631,74.303472277,78.00812874,220.671801042,339.877789165,276.029737658,222.407785221,74.644769798,107.738968616,91.251222358,85.872289109,42.475970414,66.417756745,178.600964139,86.89382933,121.570647611,202.639063635,89.141050968,82.949888361,70.731481239,104.043076881,221.381999501,86.658560484,68.7123624,,,192.288002565,89.869215124,78.721878746,96.862574539,108.238953123,97.656893606,80.960529565,736.234546407,324.186829885,2753.378345438,178.103599122
1994-05-31,103.005824973,103.488386312,340.632944452,106.576925075,67.59326855,,182.783241642,76.902168846,85.675594386,232.004447029,349.605954865,268.30747714,236.308271797,79.764438509,108.871360178,79.328480342,89.393248571,48.358310922,74.43979486,193.586739672,89.997180378,133.925388222,221.285147975,98.532165033,90.213861635,75.885558166,90.309987823,243.925475423,93.176651963,67.59326855,,,219.723929131,94.638218285,75.668952701,102.134007167,116.092703019,104.028339809,77.820786036,782.865723524,311.02874223,2723.942353783,201.522065442
1994-06-30,106.430895508,106.929502606,358.012176312,110.15504726,68.93618117,,194.531641329,79.500865415,95.454391151,236.096791414,387.707937193,269.621904462,230.792205695,78.433324644,109.841981517,82.426515669,90.175684007,46.443130291,72.670227629,196.534761088,89.748912294,144.303370335,238.011782456,103.898515928,99.821052095,77.09183149,92.996896552,254.310672196,94.672607384,68.93618117,,,228.002010422,98.347442966,77.41348187,109.38222703,117.663452999,107.967052006,79.614925196,794.0751411,321.555212354,4953.409520024,214.463849462
1994-07-31,103.640097294,104.125630071,336.288136487,106.449134997,73.972103496,,182.236804447,74.977208424,106.23329213,222.717973234,409.3936399,282.601874269,240.500482034,72.596902314,93.503188979,84.210232979,85.285462532,48.495109539,73.613996819,185.97101768,82.425003822,136.561066219,219.639905239,101.21534048,106.733542792,70.84114245,92.399805723,255.323862125,86.337998608,73.972103496,,,223.98122808,95.803974613,81.01157328,106.087581638,111.951634892,105.418473525,83.315337212,707.986814114,338.482914309,5996.779375478,202.754616301
1994-08-31,64.822631233,65.126312076,312.826173477,62.617138234,67.59326855,,175.952776708,74.014728213,95.009900389,57.450219244,215.641006363,141.629543965,90.242841424,53.03976784,70.693587515,86.932748872,61.323377302,15.389844353,26.543508468,140.522354178,49.157080592,69.84546692,79.79427269,32.645301274,46.161378551,15.24290836,29.854541429,101.825587871,48.191135362,67.59326855,,,86.565078646,69.839401848,76.323151139,40.062887972,65.543112775,71.939419845,78.493588221,610.689069553,358.682356979,4611.556238792,175.330359689
